SEKVENS	KODE	NIVEAU	TITEL	GENERELLE_NOTER	INKLUDERER	INKLUDERER_OGSÅ	EKSKLUDERER	PARAGRAF	MÅLEENHED
5623	5241	5	Bioinformatik og systembiologi, cand.polyt.						
5624	5363	5	Kemi, cand.polyt.						
5625	8313	5	Kemisk-biokemisk teknologi (biomasse-energi) (SDC), cand.polyt.						
5626	8334	5	Kemi-miljø, civilingeniør						
5627	8341	5	Fødevareteknologi, cand.polyt.						
5628	8358	5	Kemisk og biokemisk teknologi, cand.polyt.						
5629	705920	3	Nanoteknologi og nanobioteknologi, LVU						
5630	70592010	4	Nanoteknologi og nanobioteknologi, LVU						
5631	6246	5	Materials Technology and Nanotechnology, cand.polyt.						
5632	8338	5	Nanoteknologi, civilingeniør						
5633	8368	5	Fysik og nanoteknologi, cand.polyt.						
5634	8369	5	Nanomaterialer og nanofysik, cand.polyt.						
5635	8370	5	Nanobioteknologi, cand.polyt.						
5636	705925	3	Bygnings- og anlægsteknisk, LVU						
5637	70592510	4	Bygnings- og anlægsteknik, LVU						
5638	3176	5	Arkitekturens teknik, æstetik og metoder,master						
5639	5361	5	Bygning, civilingeniør						
5640	5365	5	Bygning-almen, civilingeniør						
5641	5367	5	Husbygning, civilingeniør						
5642	5368	5	Teknisk hygiejne, civilingeniør						
5643	5370	5	Vandbygning-fundament, civilingeniør						
5644	5372	5	Konstruktion anlæg, civilingeniør						
5645	5383	5	Anlægskonstruktion, civilingeniør						
5646	5384	5	Indeklima, civilingeniør						
5647	5389	5	Bygningskonstruktion, civilingeniør						
5648	6062	5	Anlæg, civilingeniør						
5649	8251	5	Byggeledelse og bygningsinformatik, cand.scient.tech.						
5650	8254	5	Bygningsteknik, cand.polyt.						
5651	8326	5	Arkitektur, cand.polyt.						
5652	8335	5	Byggeri og anlæg, cand.polyt.						
5653	8345	5	Byggeri, cand.polyt.						
5654	8354	5	Indeklima og energi, cand.polyt.						
5655	8355	5	Bygge- og anlægskonstruktion, cand.polyt.						
5656	8359	5	Bygningsinformatik, cand.scient.tech.						
5657	8360	5	Byggeledelse, cand.polyt.						
5658	8361	5	Byggeledelse, cand.scient.tech.						
5659	8362	5	Ledelse og informatik i byggeriet, cand.scient.tech.						
5660	8365	5	Bygningsdesign, cand.polyt.						
5661	8366	5	Byggeteknologi, cand.polyt.						
5662	8374	5	Bygningers energidesign, cand.tech.						
5663	8871	5	Holdbarhed-reparation betonkonstruktion, master						
5664	8872	5	Ledelse af byggeri, master						
5665	8941	5	Universelt design og tilgængelighed, master						
5666	8948	5	Bygningsfysik, master						
5667	70592515	4	Byudvikling og byplanlægning mv., LVU						
5668	3161	5	Urban Studies, kand.						
5669	5369	5	Trafik- og byplanlægning, civilingeniør						
5670	5373	5	Planlægning-miljø, civilingeniør						
5671	5379	5	Planlægning, civilingeniør						
5672	6134	5	Plan, by og proces, kombination (RUC)						
5673	7021	5	Plan, by og proces (komb. HUM), cand.soc.						
5674	7022	5	Plan, by og proces (komb. SAM), cand.soc.						
5675	7023	5	Plan, by og proces (komb. NAT), cand.soc.						
5676	7024	5	Plan, by og proces (komb. HUM-TEK), cand.soc.						
5677	7063	5	Plan, by og proces, cand.soc.						
5678	8300	5	Bæredygtig byudvikling, cand.polyt.						
5679	8322	5	Urbant design, cand.polyt.						
5680	8356	5	Veje og trafik, cand.polyt.						
5681	8870	5	Arktisk teknologi, master						
5682	705930	3	Elektronik og it, LVU						
5683	70593010	4	Tele-, data- og it-teknologi mv., LVU						
5684	3103	5	Security and mobile computing, kand.						
5685	3115	5	Elektroteknologi, cand.polyt.						
5686	3222	5	Informationsteknologi, cand.polyt.						
5687	5214	5	Netværk og distribuerede systemer, civilingeniør cand.polyt.						
5688	5217	5	Trådløse kommunikationssystemer, cand.polyt.						
5689	5218	5	Vision, grafik og interaktive systemer, cand.polyt.						
5690	5219	5	Indlejrede softwaresystemer, cand.polyt.						
5691	5237	5	Signalbehandling og beregning, cand.polyt.						
5692	5242	5	Digitale medieteknologier, cand.polyt.						
5693	5382	5	Telekommunikation, civilingeniør						
5694	5396	5	Data, civilingeniør						
5695	5397	5	Software engineering, cand.polyt.						
5696	5398	5	Optiklinien, civilingeniør						
5697	5798	5	Information technology (IM), master						
5698	6065	5	Information, civilingeniør						
5699	6243	5	Communication Technologies, cand.polyt.						
5700	6269	5	Elektroteknologi, cand.polyt.						
5701	6270	5	Elektroteknologi, cand.scient.tech.						
5702	6285	5	Teknisk informationsteknologi, civilingeniør						
5703	8262	5	Datateknik, civilingeniør						
5704	8307	5	Intelligente pålidelige systemer, cand.polyt.						
5705	8308	5	Telekommunikation, cand.polyt.						
5706	8317	5	Service systems design, cand.scient.						
5707	8330	5	Spiludvikling og læringsteknologi, cand.polyt.						
5708	8337	5	Elektronik og IT, civilingeniør						
5709	8344	5	Innovativ kommunikationsteknik-entrepreneursk., cand.polyt.						
5710	8825	5	Information technology (IM), master						
5711	8873	5	Informatik-industriel IT, master						
5712	8887	5	Software, interaktionsdesign-multimedier, organisation, master						
5713	8892	5	Mobil internet communication (MIC), master						
5714	8903	5	Multimedieteknologi (MITM), master						
5715	8945	5	Informations- og kommunikationsteknologier (MICT), master						
5716	70593015	4	Teknisk videnskabelige it-uddannelser, LVU						
5717	3106	5	Software, cand.polyt.						
5718	3107	5	Softwarekonstruktion, cand.polyt.						
5719	3108	5	Computerteknologi, cand.scient.tech.						
5720	3109	5	Digitale medieteknologier, cand.scient.tech.						
5721	3169	5	Software Engineering, cand.polyt.						
5722	3213	5	Interaktionsdesign og multimedier(HUM), master						
5723	3214	5	Organisation (SAMF), master						
5724	3215	5	Softwarekonstruktion(TEKNAT), master						
5725	3340	5	Computerteknologi, cand.polyt.						
5726	5212	5	IT-produktdesign, cand.it.						
5727	5271	5	Computerteknologi, cand.polyt.						
5728	5795	5	Computer-mediated communication (MCC), master						
5729	6266	5	Spil, cand.it.						
5730	8229	5	It, kommunikation og organisation, cand.it.						
5731	8339	5	IT-informatik, civilingeniør						
5732	8826	5	IT (MIT), master						
5733	8835	5	Computer-mediated communication (MCC), master						
