SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
4323;"7107";5;International sikkerhed og folkeret, kand.2år;;;;;;
4324;"7321";5;Human security, kand.2år;;;;;;
4325;"8918";5;Samfundsmæssige konflikter og intervention, master;;;;;;
4326;"8942";5;Globalisering og integration, master;;;;;;
4327;"70392515";4;EU-studier og europæiske studier, LVU;;;;;;
4328;"3021";5;Internationale forhold, kand.2år;;;;;;
4329;"3300";5;EU-studier, kand.2år;;;;;;
4330;"3301";5;EU-Studies, kand.2år;;;;;;
4331;"6137";5;EU studier, kand.2år (RUC);;;;;;
4332;"7207";5;EU-studier, kand.2år;;;;;;
4333;"703930";3;Jura, LVU;;;;;;
4334;"70393010";4;Jura, LVU;;;;;;
4335;"3205";5;Jura, kand.2år;;;;;;
4336;"3206";5;Laws, kand.2år;;;;;;
4337;"7080";5;Jura, kand.;;;;;;
4338;"7085";5;Jura, kand.2år;;;;;;
4339;"7086";5;Jura, cand.soc.2år;;;;;;
4340;"703935";3;Politologi, LVU;;;;;;
4341;"70393510";4;Statskundskab, LVU;;;;;;
4342;"3209";5;Statskundskab, kand.2år;;;;;;
4343;"3210";5;Political Science, kand.2år;;;;;;
4344;"7040";5;Statsvidenskab, kand.;;;;;;
4345;"7101";5;Statskundskab, kand.2år;;;;;;
4346;"7112";5;Politik og administration, kand.2år;;;;;;
4347;"70393515";4;Politologiske uddannelser i øvrigt, LVU;;;;;;
4348;"3189";5;Politik og international forvaltning, kand.2år;;;;;;
4349;"3190";5;International Public Administration and Politics, kand.2år;;;;;;
4350;"5757";5;Public policy (MPP), master;;;;;;
4351;"6100";5;Politik og international forvaltning, kand.2år;;;;;;
4352;"6112";5;Miljø og ressource management, kand.2år;;;;;;
4353;"6142";5;Socialvidenskab, kand.2år;;;;;;
4354;"7012";5;Socialvidenskab, kand.;;;;;;
4355;"7111";5;Komparativ politik og velfærdsstudier, kand.2år;;;;;;
4356;"8860";5;Public policy (MPP), master;;;;;;
4357;"8885";5;Miljø- og energiret, master;;;;;;
4358;"8951";5;Politivirksomhed, master;;;;;;
4359;"703940";3;Psykologi, LVU;;;;;;
4360;"70394010";4;Psykologi, LVU;;;;;;
4361;"6140";5;Psykologi, kand.2år (RUC);;;;;;
4362;"7150";5;Psykologi, kand.;;;;;;
4363;"7155";5;Psykologi, kand.2år;;;;;;
4364;"9062";5;Pædagogikum i psykologi;;;;;;
4365;"703945";3;Sociologi, LVU;;;;;;
4366;"70394510";4;Sociologi, LVU;;;;;;
4367;"7130";5;Sociologi, kand.;;;;;;
4368;"7135";5;Sociologi, kand.2år;;;;;;
4369;"70394515";4;Kultursociologi, LVU;;;;;;
4370;"7133";5;Kultursociologi, kand.2år;;;;;;
4371;"7360";5;Kultursociologi, kand.;;;;;;
4372;"7362";5;Kultursociologi, cand.phil.;;;;;;
4373;"70394520";4;Socialt entrepreneurskab mv., LVU;;;;;;
4374;"3199";5;Socialt entreprenørskab og management, kand.2år;;;;;;
4375;"3200";5;Social Entrepreneurship and Management, kand.2år;;;;;;
4376;"6901";5;Socialt entreprenørskab og management, kand.2år;;;;;;
4377;"7145";5;Socialt arbejde, kand.2år;;;;;;
4378;"7146";5;Avanceret udvikling i socialt arbejde, kand.2år;;;;;;
4379;"7173";5;Kriminologi, kand.2år;;;;;;
4380;"8897";5;Socialt entreprenørskab (MSE), master;;;;;;
4381;"8958";5;Vidensbaseret socialt arbejde, master;;;;;;
4382;"8975";5;Udsatte børn og unge, master;;;;;;
4383;"70394525";4;Sociologiske uddannelser i øvrigt, LVU;;;;;;
4384;"3157";5;Social Work,European Master;;;;;;
4385;"3211";5;Sociale interventionsstudier, kand.2år;;;;;;
4386;"3212";5;Social Intervention Studies, kand.2år;;;;;;
4387;"6009";5;Sundhedsfremme og sundhedsstrategier, kand.2år;;;;;;
4388;"6424";5;Arbejdslivsstudier, kand.2år;;;;;;
4389;"6572";5;Uddannelsesvidenskab, kand.2år;;;;;;
4390;"7147";5;Sociale interventionsstudier, kand.2år;;;;;;
4391;"8806";5;Myndighed og medborgerskab, master;;;;;;
4392;"8840";5;Køn og velfærd, master;;;;;;
4393;"8863";5;Arbejdsmarked og personaleforhold, master;;;;;;
4394;"703950";3;Økonomi, LVU;;;;;;
4395;"70395010";4;Økonomi, LVU;;;;;;
4396;"3078";5;Avanceret økonomi og finansiering, kand.2år;;;;;;
4397;"3079";5;Innovation og videnøkonomi, kand.2år;;;;;;
4398;"3081";5;Økonomi - Nationaløkonomi, kand.2år;;;;;;
4399;"3203";5;Økonomi, kand.2år;;;;;;
4400;"3204";5;Economics, kand.2år;;;;;;
4401;"7045";5;Statsvidenskab, kand.2år;;;;;;
4402;"7060";5;Økonomi, kand.;;;;;;
4403;"7065";5;Økonomi, kand.2år;;;;;;
4404;"8856";5;Modern economics, master;;;;;;
4405;"703955";3;Erhvervsøkonomi uden nærmere angivelse, LVU;;;;;;
4406;"70395510";4;Erhvervsøkonomi uden nærmere angivelse, LVU;;;;;;
4407;"3197";5;Rumlige design og samfund, kand.2år;;;;;;
4408;"3198";5;Spatial Designs ans Society, kand.2år;;;;;;
4409;"3363";5;Business Administration and Data Science, kand.2år;;;;;;
4410;"5751";5;Business administration (MBA), master;;;;;;
4411;"5792";5;Language administration (MLA), master;;;;;;
4412;"6900";5;Rumlige design og samfund, kand.2år;;;;;;
4413;"8319";5;Erhvervsøkonomi og bioentrepreneurskab, kand.2år;;;;;;
4414;"8815";5;Language administration (MLA), master;;;;;;
4415;"8847";5;Food (MBA), master;;;;;;
4416;"8848";5;Business administration (MBA), master;;;;;;
4417;"8859";5;Byg (MBA), master;;;;;;
4418;"8862";5;Shipping og logistik, (EMBA) master;;;;;;
4419;"8901";5;Technology-market-organisation (TMO), master;;;;;;
4420;"8913";5;Transport og maritim management, master;;;;;;
4421;"8917";5;Corporate performance, master;;;;;;
4422;"8928";5;Business administration executive (EMBA), master;;;;;;
4423;"8980";5;Forretningsudvikling, master;;;;;;
4424;"703960";3;Erhvervsøkonomi, cand.merc., LVU;;;;;;
4425;"70396010";4;Erhvervsøkonomi, cand.merc., LVU;;;;;;
4426;"3024";5;Erhvervsøkonomi-business, language and culture, kand.2år;;;;;;
4427;"3077";5;Erhvervsøkonomi-virksomhedskommunikation, kand.2år;;;;;;
4428;"3187";5;Erhvervsøkonomi, kand.2år;;;;;;
4429;"3188";5;Economics and Business Administration, kand.2år;;;;;;
4430;"5652";5;Erhvervsøkonomi og jura, cand.merc.(jur.)2år;;;;;;
4431;"5653";5;Erhvervsøkonomi og politik, kand.2år;;;;;;
4432;"5657";5;Erhvervsøkonomi og informationsteknologi, kand.2år;;;;;;
4433;"5658";5;Erhvervsøkonomi og jura, cand.merc.2år;;;;;;
4434;"5662";5;Interpret, cand.merc.2år;;;;;;
4435;"5667";5;Erhvervsøkonomi og matematik, kand.2år;;;;;;
4436;"5703";5;Erhvervsøkonomi, kand.2år;;;;;;
4437;"5717";5;Erhvervsøkonomi og psykologi, kand.2år;;;;;;
4438;"5782";5;Japansk, cand.merc.2år;;;;;;
4439;"5785";5;Erhvervsøkonomi og erhvervssprog, kand.2år;;;;;;
4440;"5786";5;Erhvervsøkonomi-filosofi, kand.2år;;;;;;
4441;"5787";5;Kommunikationsledelse og erhvervsøkonomi, cand.merc.2år;;;;;;
4442;"6906";5;E-business, kand.2år;;;;;;
4443;"8028";5;Business Administration and Data Science, kand.2år;;;;;;
4444;"703970";3;Erhvervsøkonomi-erhvervssprog, negot., LVU;;;;;;
4445;"70397010";4;Erhvervsøkonomi-erhvervssprog mv., negot., LVU;;;;;;
4446;"5532";5;Engelsk, cand.negot.;;;;;;
4447;"5533";5;Fransk, cand.negot.;;;;;;
4448;"5534";5;Tysk, cand.negot.;;;;;;
4449;"5535";5;Spansk, cand.negot.;;;;;;
4450;"5536";5;Arabisk, cand.negot.;;;;;;
4451;"5537";5;Polsk, cand.negot.;;;;;;
4452;"5962";5;Erhvervsøkonomi-erhvervssprog, engelsk, kand.2år;;;;;;
4453;"5963";5;Erhvervsøkonomi-erhvervssprog, fransk, cand.negot.2år;;;;;;
4454;"5964";5;Erhvervsøkonomi-erhvervssprog, tysk, kand.2år;;;;;;
4455;"5965";5;Erhvervsøkonomi-erhvervssprog, spansk, kand.2år;;;;;;
4456;"5966";5;Erhvervsøkonomi-erhvervssprog, arabisk, kand.2år;;;;;;
4457;"5967";5;Polsk, cand.negot.2år;;;;;;
4458;"5968";5;Erhvervsøkonomi-erhvervssprog, kinesisk, kand.2år;;;;;;
4459;"5969";5;Erhvervsøk-erhv.spr, internat. turisme-fritidsman, kand.2år;;;;;;
4460;"7059";2;Teknisk videnskab, LVU;;;;;;
4461;"705910";3;Teknisk videnskab uden nærmere angivelse, LVU;;;;;;
4462;"70591010";4;Teknisk videnskab uden nærmere angivelse, LVU;;;;;;
4463;"0175";5;Teknisk una - udvekslingstud. (lang vidg.);;;;;;
4464;"0659";5;Teknisk, ivu (lvu);;;;;;
4465;"3113";5;Værdikæder og innovationsledelse, cand.scient.tech.2år;;;;;;
4466;"3123";5;Produktion, kand.2år;;;;;;
