SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
255;"2422";4;Arbejde med virksomhedsstrategi/policy;;;;;;
256;"242200";5;Arbejde med virksomhedsstrategi/policy;;;;;;
257;"2423";4;Arbejde med analyse og rådgivning inden for HR;;;;;;
258;"242300";5;Arbejde med analyse og rådgivning inden for HR;;;;;;
259;"2424";4;Arbejde med personaleudvikling og -oplæring;;;;;;
260;"242400";5;Arbejde med personaleudvikling og -oplæring;;;;;;
261;"243";3;Arbejde inden for salg, marketing og PR;;;;;;
262;"2431";4;Arbejde inden for reklame og marketing;;;;;;
263;"243100";5;Arbejde inden for reklame og marketing;;;;;;
264;"2432";4;Arbejde inden for PR;;;;;;
265;"243200";5;Arbejde inden for PR;;;;;;
266;"2433";4;Arbejde inden for teknisk og medicinsk salg (undtagen informations- og kommunikationsteknologi);;;;;;
267;"243310";5;Arbejde inden for teknisk salg (undtagen informations- og kommunikationsteknologi);;;;;;
268;"243320";5;Arbejde inden for medicinsk salg;;;;;;
269;"2434";4;Arbejde inden for salg af informations- og kommunikationsteknologi;;;;;;
270;"243400";5;Arbejde inden for salg af informations- og kommunikationsteknologi;;;;;;
271;"25";2;Arbejde inden for informations- og kommunikationsteknologi;;;;;;
272;"251";3;Udvikling og analyse af software og applikationer;;;;;;
273;"2511";4;Systemanalytikerarbejde;;;;;;
274;"251110";5;Arbejde med overordnet IT-arkitektur;;;;;;
275;"251120";5;Design af IT-systemer og analyse af forretningsprocesser;;;;;;
276;"2512";4;Softwareudvikling;;;;;;
277;"251210";5;IT-projektstyring;;;;;;
278;"251220";5;Rådgivning og programmering inden for softwareudvikling;;;;;;
279;"2513";4;Web- og multimedieudvikling;;;;;;
280;"251300";5;Web- og multimedieudvikling;;;;;;
281;"2514";4;Vedligeholdelse og dokumentation af software;;;;;;
282;"251400";5;Vedligeholdelse og dokumentation af software;;;;;;
283;"2519";4;Andet arbejde med software, herunder test og kvalitetssikring;;;;;;
284;"251900";5;Andet arbejde med software, herunder test og kvalitetssikring;;;;;;
285;"252";3;Arbejde med databaser og netværk;;;;;;
286;"2521";4;Design og administration af databaser;;;;;;
287;"252100";5;Design og administration af databaser;;;;;;
288;"2522";4;Systemadministration;;;;;;
289;"252200";5;Systemadministration;;;;;;
290;"2523";4;Arbejde med computernetværk;;;;;;
291;"252300";5;Arbejde med computernetværk;;;;;;
292;"2529";4;Andet arbejde med databaser og netværk;;;;;;
293;"252900";5;Andet arbejde med databaser og netværk;;;;;;
294;"26";2;Arbejde inden for jura, samfundsvidenskab og kultur;;;;;;
295;"261";3;Juridisk arbejde;;;;;;
296;"2611";4;Advokatarbejde;;;;;;
297;"261110";5;Advokatarbejde;;;;;;
298;"261120";5;Advokatfuldmægtigarbejde;;;;;;
299;"2612";4;Dommerarbejde;;;;;;
